Roll;Pitch;COG_MAG;Ax;Ay;Az;T0;T1;Year;Month;Day;Hour;Min;Sec;Nanoseconds;Vn;Ve;Vd;H;AHor;AVert;ASpeed;AHeading;Time;GPSFlags;NbSat;Latitude;Longitude;Altitude_GPS;Vx;Vy;Vz;Accuracy;PosAccuracy;VelAccuracy;Status
1,686129;2,003155;-131;0,4070177;-0,2689962;-9,798152;39,37683;49,89624;9;1;1;0;0;21;442146133;0;0;0;0;4294967295;3750000128;4902;18000000;550709250;4;0;170;-5;1;-0,07911044;0,1429863;-0,1382877;0,7263222;1,733031E+07;173,3867;1081343
1,68491;2,004657;-131;0,3294153;-0,2913284;-9,818033;39,40201;49,89624;9;1;1;0;0;21;742146133;0;0;0;0;4294967295;3750000128;4928;18000000;550709500;4;0;174;-6;1;-0,08075854;0,1489189;-0,1419213;0,7256323;1,733031E+07;173,3867;1081343
1,681607;2,007012;-132;0,3293972;-0,2717352;-9,825773;39,3869;49,81995;9;1;1;0;0;22;282146133;0;0;0;0;4294967295;3750000128;4978;18000000;550710000;4;0;183;-8;1;-0,08238385;0,1582297;-0,1469322;0,7266883;1,733031E+07;173,3867;1081343
1,675042;1,989907;-132;0,3462982;-0,271636;-9,810918;39,41208;49,81995;9;1;1;0;0;22;582146000;0;0;0;0;4294967295;3750000128;5003;18000000;550710250;4;0;188;-9;1;-0,08262374;0,1636255;-0,1501596;0,7274913;1,733031E+07;173,3867;1081343
1,689616;1,962441;-133;0,3220482;-0,2815228;-9,815847;39,40704;49,81995;9;1;1;0;0;23;222146000;0;0;0;0;4294967295;3750000128;5078;18000000;550711000;4;0;198;-12;1;-0,08285148;0,1752945;-0,157135;0,7292947;1,733031E+07;173,3867;1081343
1,705832;1,955238;-133;0,3438044;-0,2936459;-9,793353;39,37683;49,81995;9;1;1;0;0;23;502146266;0;0;0;0;4294967295;3750000128;5102;18000000;550711250;4;0;203;-14;1;-0,08250403;0,1806964;-0,1600835;0,7301483;1,733031E+07;173,3867;1081343
1,696074;1,966836;-135;0,3439779;-0,2667961;-9,825734;39,37683;49,81995;9;1;1;0;0;24;742146333;0;0;0;0;4294967295;3750000128;5223;18000000;550712500;12;0;226;-23;1;-0,07929153;0,2122786;-0,1729888;0,7327018;1,733031E+07;173,3867;1081343
1,687275;1,970418;-135;0,3340998;-0,2545118;-9,816271;39,42215;49,81995;9;1;1;0;0;25;22146000;0;0;0;0;4294967295;3750000128;5247;18000000;550712750;12;0;231;-25;1;-0,07851272;0,218111;-0,1759467;0,733137;1,733031E+07;173,3867;1081343
1,71383;1,965367;-136;0,3341856;-0,2692404;-9,818427;39,41711;49,81995;9;1;1;0;0;25;882146200;0;0;0;0;4294967295;3750000128;5318;18000000;550713500;12;0;249;-33;1;-0,07395907;0,2359821;-0,1844675;0,7340652;1,733031E+07;173,3867;1081343
1,714327;1,967394;-137;0,3244553;-0,2496786;-9,828707;39,41208;49,81995;9;1;1;0;0;26;482146200;0;0;0;0;4294967295;3750000128;5388;18000000;550714250;12;0;261;-40;2;-0,07179898;0,2483698;-0,1908334;0,7343259;1,733031E+07;173,3867;1081343
1,730155;1,960279;-137;0,3294277;-0,2888861;-9,820532;39,42719;49,81995;9;1;1;0;0;26;822146066;0;0;0;0;4294967295;3750000128;5411;18000000;550714500;12;0;268;-44;2;-0,0703247;0,2561141;-0,1948267;0,7344192;1,733031E+07;173,3867;1081343
1,677639;1,965425;-138;0,3462;-0,2593498;-9,806263;39,41208;49,81995;9;1;1;0;0;27;422146133;0;0;0;0;4294967295;3750000128;5480;18000000;550715250;12;0;281;-52;2;-0,07001606;0,26841;-0,2016642;0,7337531;1,733031E+07;173,3867;1081343
1,673142;1,98171;-138;0,3390293;-0,2790117;-9,810839;39,39697;49,81995;9;1;1;0;0;27;702146266;0;0;0;0;4294967295;3750000128;5503;18000000;550715500;12;0;287;-56;2;-0,0693699;0,2720171;-0,2045407;0,7336759;1,733031E+07;173,3867;1081343
1,662579;1,953487;-139;0,3390722;-0,2839279;-9,81319;39,45236;49,81995;9;1;1;0;0;28;682146200;0;0;0;0;4294967295;3750000128;5593;18000000;550716500;12;0;308;-71;2;-0,06673623;0,285421;-0,215593;0,7323574;1,733031E+07;173,3867;1081343
1,664323;1,959607;-140;0,3414621;-0,279006;-9,810816;39,4574;49,81995;9;1;1;0;0;28;942146133;0;0;0;0;4294967295;3750000128;5616;18000000;550716750;12;0;314;-75;2;-0,06584846;0,2883966;-0,2185289;0,7314257;1,733031E+07;173,3867;1081343
1,650284;1,978977;-141;0,3390522;-0,2741261;-9,815836;39,42719;49,81995;9;1;1;0;0;29;562146066;0;0;0;0;4294967295;3750000128;5660;18000000;550717250;12;0;327;-86;2;-0,06644417;0,2963405;-0,2256287;0,7293748;1,733031E+07;173,3867;1081343
1,643446;1,969832;-141;0,3415623;-0,2814999;-9,820565;39,46243;49,81995;9;1;1;0;0;29;822146066;0;0;0;0;4294967295;3750000128;5682;18000000;550717750;12;0;333;-90;2;-0,06623629;0,2995029;-0,2284409;0,7286707;1,733031E+07;173,3867;1081343
1,644044;1,953552;-142;0,3366156;-0,2888184;-9,808215;39,43726;49,89624;9;1;1;0;0;30;422146000;0;0;0;0;4294967295;3750000128;5748;18000000;550718250;12;0;347;-101;2;-0,06284001;0,3061489;-0,2340625;0,7259678;1,733031E+07;173,3867;1081343
1,627575;1,95151;-142;0,3439293;-0,2814636;-9,813193;39,44229;49,81995;9;1;1;0;0;30;682146133;0;0;0;0;4294967295;3750000128;5769;18000000;550718500;12;0;352;-106;2;-0,06224433;0,3090221;-0,2357993;0,7249724;1,733031E+07;173,3867;1081343
1,577533;1,945181;-144;0,346365;-0,2765627;-9,815719;39,46747;49,81995;9;1;1;0;0;32;522146066;0;0;0;0;4294967295;3750000128;5919;18000000;550720250;12;0;392;-141;3;-0,05392073;0,3072389;-0,2528199;0,7144436;1,733031E+07;173,3867;1081343
